Timestep	MeanReward	BestMeanReward	episodes	exploration	learning_rate
4290000	-14.71	-13.78	7807	0.025974999999999998	5.8875e-05
4300000	-14.8	-13.78	7822	0.025749999999999995	5.8750000000000005e-05
4310000	-14.63	-13.78	7837	0.025524999999999992	5.8625e-05
4320000	-14.52	-13.78	7852	0.025300000000000003	5.8500000000000006e-05
4330000	-14.73	-13.78	7868	0.025075	5.8375e-05
4340000	-14.65	-13.78	7883	0.024849999999999997	5.8250000000000006e-05
4350000	-14.63	-13.78	7898	0.024624999999999994	5.8125e-05
4360000	-14.59	-13.78	7914	0.024400000000000005	5.800000000000001e-05
4370000	-14.79	-13.78	7930	0.024174999999999988	5.7875000000000004e-05
4380000	-14.99	-13.78	7946	0.02395	5.775e-05
4390000	-14.9	-13.78	7962	0.023724999999999996	5.7625e-05
4400000	-14.84	-13.78	7976	0.023499999999999993	5.75e-05
4410000	-14.91	-13.78	7991	0.02327499999999999	5.7375e-05
4420000	-15.08	-13.78	8007	0.02305	5.725e-05
4430000	-14.85	-13.78	8022	0.022824999999999998	5.7125e-05
4440000	-14.74	-13.78	8037	0.022599999999999995	5.7e-05
4450000	-14.64	-13.78	8052	0.022374999999999992	5.6875e-05
4460000	-14.6	-13.78	8067	0.022150000000000003	5.6750000000000004e-05
4470000	-14.6	-13.78	8081	0.021924999999999986	5.6625e-05
4480000	-14.38	-13.78	8096	0.021699999999999997	5.6500000000000005e-05
4490000	-14.23	-13.78	8110	0.021474999999999994	5.6375e-05
4500000	-14.18	-13.78	8125	0.02124999999999999	5.6250000000000005e-05
4510000	-14.09	-13.78	8139	0.021025000000000002	5.6125e-05
4520000	-14.14	-13.78	8154	0.0208	5.6e-05
4530000	-14.12	-13.78	8169	0.020574999999999996	5.5875e-05
4540000	-14.42	-13.78	8185	0.020349999999999993	5.575e-05
